refno,tag,unit,fluid,seq,spec,pid,strlvl,cnote,insulation
=17384/4809,VO-FG-20101,VO,FG,20101,AA3,VO-00030-201-1,unset,unset,NT
=17384/4814,VO-FL-00101,VO,FL,00101,AA5,VO-00020-001-1,unset,unset,TE
=17384/4819,VO-FL-00102,VO,FL,00102,AA5,VO-00020-001-1,unset,unset,TE
=17384/4824,VO-FL-00201,VO,FL,00201,AA5,VO-00020-002-1,unset,unset,TE
=17384/4829,VO-FL-00202,VO,FL,00202,AA5,VO-00020-002-1,unset,unset,TE
=17384/4834,VO-FL-00301,VO,FL,00301,AA5,VO-00020-003-1,unset,unset,NT
=17384/4839,VO-FL-00302,VO,FL,00302,AA5,VO-00020-003-1,unset,unset,NT
=17384/4844,VO-FL-00401,VO,FL,00401,AA5,VO-00020-004-1,unset,unset,TE
=17384/4849,VO-FL-00501,VO,FL,00501,AA5,VO-00020-005-1,unset,unset,TL
=17384/4854,VO-FL-00601,VO,FL,00601,AA5,VO-00020-006-1,unset,unset,PP
=17384/4859,VO-FL-00602,VO,FL,00602,AA5,VO-00020-006-1,unset,unset,TE
=17384/4864,VO-FL-00901,VO,FL,00901,AA5,VO-00020-009-1,unset,unset,TL
=17384/4869,VO-FL-00902,VO,FL,00902,AA5,VO-00020-009-1,unset,unset,TL
=17384/4874,VO-FL-01001,VO,FL,01001,AA5,VO-00020-010-1,unset,unset,TL
=17384/4879,VO-FL-01101,VO,FL,01101,AA5,VO-00020-011-1,unset,unset,NT
=17384/4884,VO-FL-01201,VO,FL,01201,AA5,VO-00020-012-1,unset,unset,PP
=17384/4889,VO-FL-01202,VO,FL,01202,AA5,VO-00020-012-1,unset,unset,PP
=17384/4894,VO-FL-01203,VO,FL,01203,AA5,VO-00020-012-1,unset,unset,TL
=17384/4899,VO-FL-01301,VO,FL,01301,AA5,VO-00020-013-1,unset,unset,TL
=17384/4904,VO-FL-01401,VO,FL,01401,AA5,VO-00020-014-1,unset,unset,TL
=17384/4909,VO-FL-01501,VO,FL,01501,AA5WH,VO-00020-015-1,unset,unset,TL
=17384/4914,VO-FL-01502,VO,FL,01502,AA5,VO-00020-015-1,unset,unset,TL
=17384/4924,VO-FL-01601,VO,FL,01601,AA5,VO-00020-016-1,unset,unset,NT
=17384/4929,VO-FL-01602,VO,FL,01602,AA5,VO-00020-016-1,unset,unset,NT
=17384/4934,VO-FL-01603,VO,FL,01603,AA5,VO-00020-016-1,unset,unset,NT
=17384/4939,VO-FL-01713,VO,FL,01713,AA5,VO-00020-017-1,unset,unset,PP
=17384/4944,VO-FL-01714,VO,FL,01714,AA5,VO-00020-017-1,unset,unset,PP
=17384/4949,VO-FL-02401,VO,FL,02401,AA5,VO-00020-024-1,unset,unset,HC
=17384/4954,VO-FL-02501,VO,FL,02501,AA5,VO-00020-025-1,unset,unset,NT
=17384/4959,VO-FL-02502,VO,FL,02502,AA5,VO-00020-025-1,unset,unset,NT
=17384/4964,VO-FL-02503,VO,FL,02503,AA5,VO-00020-025-1,unset,unset,PP
=17384/4969,VO-FL-02601,VO,FL,02601,AA5,VO-00020-026-1,unset,unset,PP
=17384/4974,VO-FL-02701,VO,FL,02701,AA5,VO-00020-027-1,unset,unset,NT
=17384/4979,VO-FL-02901,VO,FL,02901,AA5,VO-00020-029-1,unset,unset,PP
=17384/4984,VO-FL-03001,VO,FL,03001,AA5,VO-00020-030-1,unset,unset,NT
=17384/4989,VO-FL-05001,VO,FL,05001,AA5,VO-00020-050-1,unset,unset,NT
=17384/4994,VO-FL-05201,VO,FL,05201,AA5,VO-00020-052-1,unset,unset,NT
=17384/4999,VO-FL-16101,VO,FL,16101,AA5,VO-00030-161-1,unset,unset,NT
=17384/5004,VO-FL-16102,VO,FL,16102,AA5,VO-00030-161-1,unset,unset,NT
=17384/5009,VO-FL-18001,VO,FL,18001,AA5,VO-00030-180-1,unset,unset,TE
=17384/5014,VO-FL-18101,VO,FL,18101,AA5,VO-00030-181-1,unset,unset,NT
=17384/5019,VO-FL-18102,VO,FL,18102,BA3,VO-00030-181-1,unset,unset,TE
=17384/5024,VO-FL-20101,VO,FL,20101,AA5,VO-00030-201-1,unset,unset,TE
=17384/5029,VO-HY-01201,VO,HY,01201,DA5W,VO-00020-012-1,unset,unset,PP
=17384/5034,VO-HY-01601,VO,HY,01601,BA3W,VO-00020-016-1,unset,unset,NT
=17384/5039,VO-HY-01602,VO,HY,01602,BA3W,VO-00020-016-1,unset,unset,NT
=17384/5044,VO-HY-01603,VO,HY,01603,BA3W,VO-00020-016-1,unset,unset,TE
=17384/5049,VO-HY-01604,VO,HY,01604,BA3W,VO-00020-016-1,unset,unset,PP
=17384/5054,VO-HY-01605,VO,HY,01605,BA3W,VO-00020-016-1,unset,unset,NT
